praf,pmek,plcg,PIP2,PIP3,p44/42,pakts473,PKA,PKC,P38,pjnk
109,69.2,13.6,77,5.52,75.7,107,562,19.3,35.9,30.2
62.1,25,59.4,109,31.6,31.1,52.3,947,28.4,49.1,5.67
37.5,19.5,21.9,93.9,31.9,15.8,25.7,352,27.4,34.3,17.8
64.4,22.3,36.5,359,62.6,11.8,21.7,461,13.3,20.9,10.8
30,24.8,16.7,79.1,42.2,16.8,33.1,1346,12,30.5,16.8
35.2,16.1,36.8,47.4,10.5,10.3,14.3,1046,36.8,98.2,62.1
60.4,15.5,13.6,70.4,40.3,8.43,21.3,250,23.7,40,29.7
34.9,31.6,21.9,246,78.4,10.6,34.6,461,37.2,59.4,32.5
47.4,34.6,7.04,33.7,37.5,7.37,10.9,407,31.3,50.9,33.1
18.1,29.2,17.6,40.3,38.5,12.3,16.8,461,6.85,11.5,29.7
52.3,32.5,12.4,50.9,22.3,18.1,32.8,352,8.06,28.9,4.83
66.1,24.6,38.5,123,37.9,13.1,22.3,365,11.4,39.6,92.2
18.6,29.2,13.5,17,13.7,17.9,21.1,346,11,23.5,15.3
38.9,23.3,12.4,27.9,48.3,2.19,12.6,63.8,8.66,21.7,26.9
92.2,16.7,5.62,7.43,27.6,55.2,76.4,784,16,28.6,8.2
139,56.7,51.9,41,47.8,17.9,43.3,1155,11.4,31.1,34.3
92.2,36.5,3.75,113,17.6,24.8,32.2,319,3.85,18.1,23.5
78.4,30.5,19.3,89.8,33.4,4.22,31.9,813,1.58,18.8,54.7
23.9,23.7,28.4,30,7.43,16.8,33.7,223,4.26,41.8,136
92.2,30.8,20.2,21.5,6.1,26.9,51.9,1526,1.78,22.5,84.3
35.9,28.1,12.1,135,25.9,6.26,12.6,429,17.6,27.6,11.2
64.4,18.1,23.7,16.4,3.37,16.3,34,355,9.91,20.9,6.32
82,28.1,13.2,79.9,33.4,8.43,17.8,594,29.7,47.8,83.5
55.2,20.4,25.5,15.7,16.4,23.3,34,319,11.1,27.4,4.37
39.2,26.2,22.5,105,22.7,15.4,24.8,382,33.1,89.8,30
66.1,33.4,48.7,55.2,17.8,11,28.1,679,11.5,23.3,26.4
62.6,23.9,24.8,35.5,8.28,9.82,27.1,441,9.73,27.4,53.8
53.8,15,12.9,67.9,7.17,22.3,38.5,292,1.47,9.39,71
17.5,15.5,25.9,26.4,14.6,15.4,36.5,217,35.5,77,20
53.3,24.1,7.57,86.6,20,23.7,45.7,1027,10.7,20.7,10.2
33.1,17,9.82,26.7,44.1,15.8,25.3,583,17.8,39.6,21.5
71.7,25.9,24.8,104,37.5,20.5,35.5,308,23.3,46.1,31.6
29.4,16.7,18.9,95.6,34.6,13.6,22.5,322,24.1,34.3,12.9
62.1,24.4,8.43,7.5,15.5,8.43,21.3,429,24.6,37.5,24.1
48.7,20.7,15.7,77.7,23.5,12.3,36.8,679,1,85.1,9.47
50.9,18.4,49.6,52.8,23.5,8.9,18.1,491,18.4,39.2,12.5
13,4.37,11.9,41,17.9,7.23,31.1,1486,18.8,46.1,20
50.5,25.7,24.1,17.6,15.5,9.65,20.5,418,4.18,40.7,68.5
38.5,15.8,15.3,47.8,61.5,20.2,25.5,274,10,32.8,14.2
42.2,44.1,7.99,85.8,20,28.9,54.7,441,24.4,34.6,8.82
104,32.8,30.5,97.3,25.9,21.5,35.5,349,15.3,27.1,15.1
110,53.8,25,85.1,31.3,27.1,42.2,267,4.61,47,33.7
34,26.9,17.8,80.6,18.6,24.6,31.9,269,18.6,40.7,14.6
91.4,39.2,15,16,38.5,6.79,21.1,466,22.9,36.5,17
35.5,37.5,4.03,21.9,13.7,4.87,17.3,523,3.55,16.5,69.8
55.2,14.1,28.4,115,37.5,33.1,76.4,1346,14.5,26.9,9.22
37.5,16.4,18.6,41,5.19,2571,3555,4491,14.6,36.2,24.4
42.2,22.9,26.7,28.6,4.78,16.4,25.9,392,28.9,38.5,21.1
49.1,35.2,24.6,115,10.8,42.2,71,704,2.41,19.1,105
67.9,25.9,17.6,16,19.3,9.47,32.2,704,30.5,55.7,40
59.4,39.6,18.9,14.1,16,7.3,23.3,168,31.3,50.5,20.2
34.3,21.9,25.5,64.9,27.4,10.5,31.6,300,8.06,21.3,5.99
164,41,70.4,193,65.5,41.4,49.6,331,24.4,41,12.3
36.5,8.82,24.1,12.9,4.53,16.4,26.4,155,25.9,40.7,19.1
48.7,32.8,1,118,10.3,1.54,14.3,610,2.69,35.5,58.8
76.4,32.2,22.5,89,16.1,11.4,22.5,478,10.7,20.4,3.49
25.7,20.5,28.4,85.8,26.4,47,86.6,470,21.9,36.8,14.5
12,13.7,19.5,15.7,13.2,65.5,111,2091,1,98.2,4.74
112,18.8,19.1,41,6.38,10.9,30,441,16.5,27.9,15
82,55.7,26.9,96.5,13.3,5.42,12.5,449,5.99,15.8,1
47,18.1,16.3,26.4,8.98,19.3,36.2,528,30.5,40.7,10.9
59.9,21.7,26.2,79.1,20.5,19.6,31.1,250,20.7,26.4,12.4
31.1,12.2,3.82,25.9,33.1,6.73,9.56,343,39.6,80.6,39.2
37.5,20,3.89,7.57,14.3,20.9,39.2,302,10.8,28.1,7.57
55.7,16.8,49.6,37.2,18.3,16,24.6,297,19.1,33.1,31.1
8.43,17.8,27.9,103,35.5,8.51,19.6,289,11.1,28.6,16.3
59.4,18.8,13,33.4,44.5,24.6,55.7,1512,34.3,76.4,34
69.8,30.5,33.1,117,55.7,10.6,28.1,806,2.5,23.5,57.8
40.3,15.5,15,63.8,29.4,26.4,43.7,649,11.2,26.2,10.4
38.9,9.82,32.8,47.4,66.1,14.6,28.9,300,11.3,20.9,4.03
31.3,23.5,31.3,155,41.4,6.49,14.2,449,15.4,25.9,16.1
72.3,17.2,24.4,24.8,17.6,7.17,37.5,63.2,2.71,21.1,97.3
48.3,15.5,16.8,167,36.2,11.5,18.6,414,12.4,14.9,13.8
18.6,10.3,63.2,51.4,24.8,7.84,13.9,505,5.78,13.9,71.7
54.2,13.7,20,14.2,25.9,5.28,14.5,34,10.2,25.5,9.06
33.4,13.6,107,176,59.9,26.4,34,284,1.37,18.9,63.2
37.2,16.4,6.1,7.99,12.6,26.4,59.4,1208,14.5,22.1,2.27
43.3,16.4,17.6,24.6,7.3,22.5,25,319,4.1,24.1,5.33
64.9,32.2,7.99,34.3,3.79,3.65,12.2,119,21.1,36.8,22.9
78.4,38.2,11.7,149,21.9,17.5,32.5,286,24.4,45.7,34.6
38.2,13.5,18.6,30.2,12.7,10.8,20.5,375,4.57,40.7,79.1
20.5,15,13.9,135,34.9,2.71,27.6,638,18.6,38.2,13.9
54.2,46.1,24.6,19.6,22.1,18.6,37.5,346,24.1,42.6,32.5
45.3,18.8,16.4,30.8,4.37,18.3,32.2,316,8.2,23.3,24.6
41,21.3,16.1,20.4,10.1,71.7,132,599,37.9,54.7,22.3
46.1,27.9,13.9,17,15.5,17.5,39.6,311,8.66,24.4,1.64
22.3,20.9,6.61,33.1,9.56,6.61,14.9,505,12.7,29.4,12.2
14.2,12.3,18.1,73.7,28.4,6.61,13.6,322,2.79,8.82,39.2
47.8,30.2,14.6,83.5,58.8,9.22,39.6,737,28.6,42.2,22.1
33.7,11.1,23.9,17.8,8.13,9.65,21.5,519,43.7,89,22.9
72.3,26.2,4.03,19.5,46.1,4.57,17.2,655,12.6,27.9,18.4
50.9,22.7,17.5,118,24.4,21.7,32.2,319,7.43,24.4,66.7
126,58.8,167,331,118,9.22,22.5,183,4.49,25.9,95.6
35.2,17.2,26.7,59.4,13.2,4.83,43.7,777,34.3,45.3,16.3
26.4,16,17.5,18.4,11.7,8.43,17.3,441,8.43,25.7,107
69.8,44.5,16.4,188,34.9,42.9,66.7,1114,19.1,48.3,25.3
24.1,17.2,17.6,88.2,15,12.6,29.4,284,18.3,38.9,12.7
4.87,14.5,10.8,195,38.9,20.5,39.6,176,11,22.5,5.88
56.7,24.1,8.35,20.5,31.6,7.5,21.9,461,4.29,13.2,62.1
15.4,26.4,16.4,55.7,15.3,15.4,25,457,7.7,19.3,14.2
46.1,23.5,10.4,73.7,12.5,5.42,14.2,519,17,26.4,18.4
41,18.1,18.3,79.1,15.4,17.5,28.1,365,22.7,34.6,11.2
41.4,30.5,14.2,126,27.6,20.4,43.7,300,14.2,24.8,22.9
65.5,33.7,12.2,14.5,10.2,14.2,28.4,229,5.42,30,94.7
60.4,34,1,491,42.9,41.4,71,638,28.4,42.6,17.6
77,20.7,65.5,56.2,33.7,20.9,35.5,414,3.02,14.2,62.6
63.8,23.7,1,118,10.9,51.4,100,1334,22.9,54.7,17.8
104,38.2,28.1,27.6,86.6,14.3,23.5,474,24.8,27.6,9.73
70.4,38.9,36.5,62.1,19.3,24.4,42.2,349,4.03,10.9,18.8
77.7,79.1,24.1,21.3,17,14.9,25.3,279,18.8,42.2,20.7
78.4,28.6,16.5,150,53.3,12.4,26.2,496,33.4,74.3,29.7
19.8,36.5,21.1,28.1,14.3,18.6,39.6,274,27.1,38.2,6.61
56.2,26.9,20.5,21.5,10.7,24.4,37.9,316,3.89,14.7,77
322,231,15,441,63.2,46.6,72.3,269,51.9,92.2,79.1
46.6,21.3,17.5,56.7,35.9,46.1,75,359,25.9,39.6,16.4
33.4,20.5,24.8,18.8,20,18.8,45.3,743,14.9,26.2,14.2
93.1,33.4,12.6,77.7,26.7,31.9,40.7,294,28.4,66.1,41.8
111,49.1,15.7,11.9,25.3,12.7,25.3,259,3.43,12.3,62.6
33.4,17,30.8,47,64.4,3.62,18.4,437,27.4,35.5,20
33.1,28.9,26.7,22.9,4.66,18.9,41.8,509,13.3,21.3,11.4
50,15.7,34,59.4,85.8,15.4,29.4,449,13.1,34.9,73
52.8,20.7,18.8,20.4,13.2,1.29,8.58,334,20.7,38.2,17.6
90.6,33.4,14.2,21.5,63.2,17.3,34.9,372,11.7,17,12.7
86.6,15.8,20.7,104,19.5,21.1,31.9,229,7.43,38.2,89
40.3,22.5,16.1,20.2,23.7,7.99,20.5,578,22.7,43.3,11.4
18.8,10.3,29.2,262,61.5,36.5,52.3,305,23.1,36.2,15.1
13.7,13.9,19.8,20.9,16.1,4.74,15.8,63.2,33.1,36.8,2.13
60.4,83.5,17.5,16.5,7.91,5.67,18.8,35.9,1.1,19.1,51.9
70.4,23.7,1.72,400,47.8,10.8,29.4,523,46.1,90.6,59.4
27.9,3.62,19.5,25.3,16.4,24.1,39.6,334,6.92,15.7,127
47.8,31.3,15,106,30.5,23.1,29.2,253,1.65,28.6,55.2
29.4,25.9,26.4,35.5,6.15,21.3,41.4,626,23.3,52.8,29.2
86.6,24.4,18.6,17.8,12.6,91.4,173,858,9.73,20,16.7
126,105,23.5,64.4,36.2,7.1,18.4,422,16.8,25.7,18.4
54.2,26.9,15.4,13.5,3.11,18.4,35.5,319,10.6,23.3,15.1
34.6,13.8,9.56,200,25.3,8.28,17,542,9.31,10.6,34
62.1,22.3,16,24.1,22.1,11.2,38.5,649,8.74,19.3,17
60.4,22.1,27.6,21.9,10.1,5.47,20.2,939,18.4,48.7,168
84.3,23.1,18.4,61,21.3,6.79,32.2,723,9.82,28.4,14.1
43.3,22.1,10.8,106,16.1,7.04,13.2,757,5.05,10.7,41.4
66.1,28.4,30.8,198,30,10.1,27.6,426,18.1,31.1,10.6
25.5,13.2,22.3,12.7,32.5,7.91,31.3,385,15.5,30,84.3
32.8,12.6,12.3,17.8,48.3,28.9,51.4,799,10.6,17.3,7.5
19.5,49.6,6.1,16.1,28.1,17.3,31.6,649,20.9,44.9,16.8
46.6,22.1,17.6,27.1,15.4,62.6,99.1,2072,19.3,38.2,25.3
41.4,11.7,89,207,52.8,24.8,43.3,410,1.76,28.6,82.8
42.2,27.6,21.5,67.9,12.3,8.28,15.8,562,21.9,29.7,8.28
62.1,21.7,9.56,6.49,34.3,15.3,23.1,319,11.9,35.5,50.9
103,32.2,10.2,13.2,50.9,5.28,5.62,239,14.5,22.9,5.23
77.7,23.7,24.8,60.4,44.5,21.5,25,289,32.2,83.5,27.1
46.6,15,8.51,120,22.3,6.1,20,478,20.9,36.8,9.65
36.5,22.3,17.5,142,9.06,16.1,22.1,661,6.55,27.6,20.2
47.8,31.9,34,426,41,2.07,3.79,27.1,13.9,26.9,74.3
79.1,62.6,19.5,19.3,13.8,9.39,32.5,483,9.82,24.6,54.2
17,10.1,41.4,284,49.1,23.3,33.7,621,12.5,25.5,77.7
41.4,28.9,13.8,81.3,11.5,28.6,44.5,379,8.82,26.7,52.8
29.2,10.7,12.5,15.4,15.8,14.2,29.2,626,6.73,54.2,6.38
61,26.7,9.82,8.98,9.39,24.8,34.6,500,5.88,12.9,31.9
33.1,32.8,87.4,403,64.4,7.1,14.1,1252,6.98,23.3,14.9
106,102,69.8,359,68.5,10.9,25.5,828,4.78,15.1,5.78
33.7,5.62,26.2,168,22.9,20,24.4,414,9.22,28.6,31.6
52.8,26.9,25.5,106,19.8,7.43,67.3,352,8.06,25.7,40
22.3,26.7,44.1,153,42.6,12.6,22.9,939,13.2,20.4,70.4
41.4,29.4,13.9,23.9,1.79,9.91,23.9,1286,20.5,61.5,138
76.4,50.9,20.5,22.9,3.59,2.33,4.74,50.9,15.8,29.7,82
92.2,92.2,27.6,39.6,2.37,34.6,62.1,820,4.29,14.9,37.9
73.7,41,75,217,58.3,21.7,41.8,1894,8.35,16.1,38.5
49.6,30.8,51.9,276,51.4,5.52,11.3,737,4.41,10.7,10.7
172,153,43.7,233,16.1,20.2,35.2,704,7.3,18.6,36.5
50,32.2,97.3,392,89,13.2,20.7,673,10.2,22.9,30.8
47,42.2,25.3,16,14.1,6.67,29.7,325,6.85,36.5,24.8
42.9,35.5,22.5,24.6,15,14.6,32.2,661,28.1,76.4,117
106,71.7,28.9,157,29.2,11.4,23.9,542,5.23,23.7,58.8
57.3,38.2,27.1,26.9,10.9,9.14,19.3,207,13.6,35.5,44.5
22.9,25.3,14.5,124,21.9,72.3,133,2548,5.05,6.15,25.9
41.4,22.9,28.9,22.5,7.57,9.65,50.5,237,19.3,45.7,105
48.3,18.4,13.9,132,12.5,12.5,33.1,882,49.1,107,211
85.8,56.2,65.5,72.3,17.9,21.9,32.8,737,18.3,14.6,23.3
73,54.7,20,151,30.5,28.1,38.5,723,16.5,32.2,33.4
28.6,33.7,13.9,204,27.4,22.5,37.5,679,3.92,17.3,36.8
86.6,79.9,16,136,13.8,18.4,28.9,626,10,18.3,23.3
113,88.2,47.8,93.9,43.7,20.7,35.2,491,10.3,22.3,35.5
28.9,21.1,17.6,19.1,6.49,9.56,20.9,973,2.71,20.7,3.13
129,75.7,13.7,125,17.9,6.49,15.8,334,14.2,53.8,27.4
26.4,29.4,17.6,81.3,16.7,17.8,36.5,1554,15.1,30.2,56.2
41.4,23.9,44.9,426,49.1,19.1,34,956,2,75,11.9
41,25.9,62.1,219,38.2,6.73,16.3,334,5.47,19.5,18.4
29.7,30,17.3,80.6,9.65,11.1,24.4,457,18.8,47.4,73
38.5,33.7,37.2,382,20.7,18.1,27.6,649,11.3,16.7,32.8
35.9,26.7,18.8,41.8,11,98.2,231,1794,23.3,56.7,109
39.2,23.1,12,160,23.1,11.3,21.9,1263,5.47,17.9,11.5
48.7,28.6,62.1,302,94.7,35.5,60.4,717,11.2,34.3,44.9
69.2,43.3,25.3,22.3,1.93,21.7,42.9,791,9.31,24.1,29.7
147,87.4,26.9,20.4,20.7,32.8,47.4,777,20,56.2,103
89.8,62.1,23.1,30.8,4.57,8.9,31.1,583,59.4,126,121
39.6,36.8,29.4,40,12.6,9.22,10.2,231,8.82,26.2,37.5
34.9,23.1,12.6,117,13.9,14.1,17,509,9.39,40,43.7
142,94.7,28.9,13.8,5.67,11.3,24.6,644,8.28,6.55,7.7
33.7,33.4,14.2,181,11.2,12.1,24.8,483,10.5,30.8,46.1
25.7,35.2,46.1,92.2,20,33.4,50.9,599,3.75,48.7,50
217,132,23.1,132,16.5,18.4,37.2,1155,7.3,17.5,22.7
38.2,24.1,57.3,365,56.2,40.7,79.9,1230,33.1,77.7,168
71.7,40,27.1,47,219,14.5,25.3,939,12.7,23.9,63.2
155,106,96.5,426,58.8,24.4,44.1,604,33.7,66.7,66.1
34.3,25.5,18.4,24.1,7.5,3.46,13,583,10.6,17.5,8.74
121,84.3,27.1,21.9,5.33,8.82,30.5,717,4.83,18.9,31.6
85.8,52.3,20.2,38.5,16.1,5.94,27.4,241,9.91,21.9,40
157,97.3,28.4,25.5,6.04,13,21.9,414,7.77,19.5,41
113,66.7,19.8,44.9,12.3,17.9,25.9,679,7.04,36.8,18.8
41,29.4,15.4,15.7,15,6.55,9.39,1310,12.1,18.9,59.4
146,97.3,49.1,69.2,16.7,15.4,29.2,547,5.94,9.06,20.4
34.6,20.5,18.8,20.9,4.07,30.5,120,1382,10.7,19.3,37.2
99.1,98.2,34.3,193,10.6,25.3,41.8,820,12,28.9,43.3
46.6,24.4,33.4,13.7,31.1,21.5,36.8,890,10,27.4,2.23
107,76.4,18.3,135,13.8,14.7,27.9,1018,39.2,110,126
67.3,36.8,30.2,138,11.7,12.6,20.2,610,9.06,20.9,32.2
97.3,73.7,55.2,379,82.8,16,28.4,764,31.9,79.9,75
51.9,21.5,11.1,188,13.6,5.62,25.5,207,29.7,76.4,132
39.2,29.2,40.3,302,72.3,7.43,18.8,698,1.53,1.45,7.64
38.2,22.3,26.4,38.5,16.7,1.75,10.9,588,7.37,20,21.3
103,78.4,20.5,16.8,1.45,15.7,33.7,679,30.5,64.9,69.8
90.6,63.8,17.6,26.9,6.85,10.6,28.9,1104,32.8,88.2,151
45.3,32.8,19.3,120,20.5,39.2,58.3,655,10.3,22.3,29.4
14.9,21.3,22.3,16.5,10.6,5.99,3.43,161,13.2,26.7,16.7
151,121,29.2,129,30,18.4,32.8,982,7.5,36.8,45.7
44.1,33.7,41,325,31.6,10.6,36.8,470,1.03,59.4,6.38
39.6,28.6,43.3,71.7,7.77,44.5,67.3,661,10.3,21.7,21.5
96.5,69.8,32.5,64.9,8.2,13.2,25.3,770,56.2,141,205
41.4,24.4,18.6,23.3,6.38,16.1,26.2,906,13.6,40.3,42.6
53.3,34.9,19.3,47.8,10.1,3.49,17.2,173,18.9,53.3,55.2
274,172,29.7,20.4,12.9,41,56.7,533,16.4,28.1,44.5
113,36.5,40,246,40.7,20.9,28.4,379,8.06,30,25.5
161,112,44.1,84.3,28.4,36.8,50.9,583,1.36,1.72,11.1
225,163,82.8,112,23.5,24.4,36.5,717,40.7,72.3,202
31.3,24.8,8.43,305,14.3,7.43,26.2,346,5.05,21.5,18.1
60.4,42.2,23.9,31.3,1.96,9.22,15,1046,9.06,21.7,42.6
176,97.3,24.4,145,15.7,14.7,21.3,820,7.77,19.6,20.9
30.5,32.8,10.2,136,5.94,30.5,55.7,791,14.1,20.5,48.7
57.8,31.6,11.5,157,36.5,11.2,27.1,626,10.3,32.2,29.4
308,200,16,93.9,29.7,17.8,31.9,655,11.2,17.5,7.1
31.3,40.3,20.7,163,17.6,11.5,31.3,866,36.2,76.4,79.1
27.1,21.3,93.9,500,63.2,35.5,57.8,542,10.6,27.6,3.92
47.4,21.1,44.1,179,23.5,11.2,20.2,478,10.3,37.5,34.6
51.9,27.1,15,167,1.84,13.9,16.4,621,18.6,46.6,33.1
48.3,20.9,20.5,64.9,13.7,29.7,47,1065,5.73,3.02,15.7
112,83.5,21.3,23.3,9.31,33.7,51.4,835,7.91,23.7,18.4
57.8,40.7,16.8,362,22.1,11.2,27.9,799,9.22,22.9,55.2
38.9,28.1,35.5,24.4,1,12.5,15.1,1334,13.6,22.7,30.2
117,78.4,19.3,17.9,6.85,33.4,48.3,947,12.5,17.5,1
68.5,107,18.3,31.1,19.5,11.1,22.9,599,12.2,27.1,14.3
36.8,24.8,21.7,98.2,18.3,7.91,19.8,403,8.74,25.9,38.5
38.2,29.2,21.1,129,24.6,12.4,30,723,6.67,10,21.5
47,26.2,15.4,84.3,18.3,9.06,27.1,965,11,18.4,26.7
253,157,25.7,121,18.6,25.9,42.2,965,11.9,17.9,36.5
96.5,46.1,13.6,136,3.43,16,32.5,505,13.5,20.5,46.1
191,115,13.1,12.5,3.31,21.7,25.7,514,11.4,12.9,17
59.9,29.2,12.2,76.4,21.9,18.6,24.8,583,9.73,15.1,8.35
61.5,37.2,158,557,110,2.64,12.9,461,12.1,26.7,27.6
34.9,25,34,26.7,2.71,1.45,6.1,34.3,27.1,61,90.6
34.6,34.6,13.2,87.4,16.8,12.5,23.9,407,7.23,27.6,42.2
170,123,16.5,8.35,1.73,20.2,29.2,757,32.8,78.4,186
21.3,15.3,69.8,239,51.9,58.8,70.4,578,16.3,27.1,42.2
44.9,28.1,21.1,142,13.1,16.8,20.7,692,17,38.5,41
33.7,20.4,25.5,24.6,6.73,11.9,58.3,325,13.9,14.9,32.5
200,125,16.5,308,15.1,37.2,38.2,777,24.8,43.3,100
35.5,23.5,23.7,25.9,12.3,16.5,25,874,66.1,183,279
26.4,23.3,120,514,117,23.5,43.3,799,10.8,30,58.3
41,41,18.1,167,19.8,4.1,15.4,615,13.8,22.5,20.5
157,79.1,20.4,33.7,25.7,4.37,19.3,858,49.1,106,155
83.5,54.2,60.4,48.3,14.9,31.3,51.9,621,14.1,16.4,25.3
109,143,22.1,108,22.5,15.3,35.5,649,20.9,58.8,53.3
145,93.9,34.3,474,62.1,15.7,21.5,429,10.8,22.5,21.9
41,11.8,15.4,75,13.9,25,30.8,626,8.06,26.4,15.7
30.2,26.7,32.8,191,28.1,18.3,19.6,723,54.7,139,191
40.7,13.1,25.3,22.7,1.17,11.4,25.7,685,14.6,24.6,20.7
38.5,20.2,50,368,60.4,8.74,28.1,483,11.4,26.4,40
37.2,56.7,18.4,21.3,10.8,14.1,31.1,621,13.1,23.5,36.2
195,106,13.9,135,3.72,24.1,43.7,414,10.8,24.8,38.5
29.4,31.1,45.7,52.8,8.82,26.7,47.8,523,10,23.3,29.4
60.4,48.7,13.6,29.7,2.35,213,322,1554,8.35,20.9,23.7
60.4,40.7,27.6,22.1,5,18.6,41,1124,7.7,23.3,17.9
64.9,53.3,71,466,73,7.77,19.8,1114,12.4,20.2,12.6
58.3,31.1,79.9,77,8.58,19.6,28.4,638,15.3,36.5,50.9
36.5,25.7,22.5,76.4,13.5,17,27.9,730,12.2,36.2,30.5
163,117,26.9,362,53.3,4.83,20.7,157,22.3,76.4,85.8
41.8,23.1,22.1,101,26.2,36.5,44.1,750,11.4,36.5,33.4
36.5,22.3,49.6,56.2,10.2,22.9,37.2,704,29.7,77,153
142,85.1,25.3,33.1,26.9,12,24.1,939,80.6,101,12.2
90.6,61.5,10,18.8,21.1,18.6,31.3,931,5.09,100,1
73,46.1,15.5,113,8.2,13.3,22.3,621,13.5,21.9,30
39.2,19.5,16.4,64.9,9.65,14.6,26.2,750,12,22.9,25.9
86.6,55.2,23.3,22.7,4.91,4.87,9.65,136,36.5,86.6,118
42.9,25.5,15.7,23.1,3.72,30.2,41,730,22.1,46.6,7.23
55.2,42.9,17.5,95.6,6.98,5.62,21.3,610,10.2,23.7,26.2
64.9,41.4,20.7,168,22.9,14.6,25.7,661,12.6,25.5,42.6
36.2,18.6,34.9,34.9,11.3,13.2,20.4,791,1.11,10.5,18.4
59.9,35.2,64.9,257,42.2,12.6,28.1,730,1.86,3.79,4.03
51.9,30.2,22.3,136,16.8,14.1,23.7,835,10.7,20.5,13.5
54.7,49.1,20.9,161,12.3,21.9,37.9,1155,13.5,32.2,35.5
44.9,31.3,23.9,30.2,8.58,26.9,71.7,1094,10.3,23.1,25.3
284,233,50.5,422,35.5,1.36,9.82,898,34,55.2,11
35.5,28.4,13.2,191,13.8,9.14,24.1,500,12.5,27.9,35.2
92.2,80.6,15.4,167,9.39,2.57,10.7,19.3,13.7,37.5,15.5
112,67.3,17,90.6,10.4,39.6,58.3,588,8.28,26.2,40.7
35.5,25,46.1,248,35.5,9.22,15.5,632,10.8,31.9,30.5
44.9,27.6,18.6,117,16.8,12.5,14.6,679,6.21,14.9,9.39
132,82.8,16,20.9,12.6,1,2.17,1,17.2,25.9,33.7
23.9,10.3,18.8,21.3,1,4.18,10.9,219,8.98,19.6,29.2
34.6,25.5,14.2,89,16.4,25.9,50,1298,10.8,51.4,7.77
135,73.7,18.9,105,6.49,25.5,62.6,1911,6.21,17.3,15.5
31.9,31.1,25,16.5,7.57,12.1,19.3,704,1.98,64.9,4.49
30.8,20.2,21.1,23.5,14.5,30.8,55.7,1382,51.9,113,115
33.7,15.1,49.6,453,49.1,27.9,45.3,523,49.6,92.2,209
80.6,58.8,28.1,56.7,8.58,9.82,14.6,594,9.73,17,27.9
34.9,19.8,14.7,94.7,4.91,51.9,89,1981,11,41.8,41.8
176,91.4,15.7,149,12.3,45.7,72.3,1827,6.15,13.1,3.89
15.4,3.02,20,17.2,21.7,20.4,31.3,567,7.37,23.3,25
142,91.4,57.8,102,18.9,12,13.6,305,4.03,10.6,12.9
41.8,24.1,18.4,18.3,8.66,19.8,38.5,422,39.6,83.5,158
26.4,18.3,17.6,44.1,10.4,13.2,20.2,667,8.58,20.9,23.3
72.3,47.4,16.5,79.9,9.22,8.06,24.6,710,7.77,25.3,32.2
32.2,10.8,12.6,27.4,10.6,18.6,40.7,813,22.3,32.5,41.4
225,125,14.6,11.1,1.54,11.5,31.1,407,3.37,66.7,9.22
40.3,34.9,24.8,27.9,6.61,1,1.67,33.4,15.3,42.6,44.5
122,89.8,9.22,173,3.72,23.5,28.6,1037,10.4,29.4,6.79
53.3,38.9,18.3,22.1,6.85,35.5,80.6,2308,20,45.7,66.1
36.2,23.7,36.8,328,51.9,9.22,13.3,679,42.2,92.2,122
37.5,22.1,17.3,14.6,12.2,18.3,27.9,583,16.7,41.8,59.4
79.9,66.7,22.1,24.1,3.92,15.5,27.9,542,13.1,36.8,33.1
72.3,39.6,18.6,7.04,14.5,39.6,47.4,389,15.4,31.1,33.7
101,67.3,22.3,68.5,5.67,30.8,39.6,594,10.4,27.1,13.9
6.67,7.99,48.3,308,48.7,6.98,34.3,470,11.5,33.4,28.6
42.6,25.5,20.2,17.5,10.1,7.17,20.9,474,11.4,24.6,23.9
57.3,26.9,84.3,461,75.7,12.2,29.2,567,11.7,13.9,23.5
65.5,28.6,18.1,93.9,7.37,22.7,31.1,562,91.4,125,15.7
93.9,50,14.6,93.9,14.5,47,62.6,685,9.65,21.5,29.7
59.4,36.8,31.6,67.9,47,11.3,21.1,698,12.9,35.9,40
31.6,22.9,26.4,18.1,7.64,11.5,33.7,632,14.2,20.9,26.2
30.5,21.7,16,255,6.73,8.51,21.7,414,49.6,97.3,193
41.8,26.4,48.3,302,40,35.9,62.1,1334,10,32.5,33.1
178,125,11.7,2.59,13.9,6.38,16.4,403,12.4,44.9,25.3
57.8,50,13.3,145,13.9,14.9,10.2,820,12.7,16.7,18.8
18.3,16.4,28.1,43.7,10.3,43.3,63.8,710,5.83,21.3,26.2
131,119,78.4,250,48.7,90.6,126,466,3.59,7.99,1.08
54.7,38.9,16.8,21.7,24.1,26.7,43.7,882,36.8,58.3,18.8
67.3,31.3,1,7.5,389,21.3,25.3,621,7.04,22.1,22.1
28.6,18.1,31.1,36.2,10.9,15.7,36.5,1000,3.05,31.3,27.4
61.5,57.3,33.1,16.4,10.2,11.9,43.3,229,5.73,16,16.4
40.3,23.3,31.9,39.2,2.57,6.79,13.7,692,11.3,28.1,29.7
36.2,18.1,46.6,528,49.6,16.1,40.3,965,14.6,33.7,15.7
38.9,16.4,24.4,195,39.6,11,20.4,496,9.56,30.8,17.5
41,30.8,20.9,25,1,12.4,20.2,685,10.8,35.2,30.8
91.4,53.8,17.5,18.8,5.57,13,22.3,496,12.9,27.9,4.14
188,117,20.5,16.3,1,4.91,5.47,973,3.31,10.3,11.1
